"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"488","State","Jawaharlal Nehru Technological University (Kainada)","Pitapuram Road, JNTU Kakinada, Kainada, Dist. East Godavari","533003","Andhra Pradesh","2(f) & 12(B)"
"489","Central","Jawaharlal Nehru University","New Mehrauli Road,New Delhi","110067","Delhi","2(f) & 12(B)"
"490","Private","Jayoti Vidyapeet Women's University","Vedaant Gyan Valley Village Jharna Mahila-Jobner Line RoadJabner, Jaipur-Ajmer Express Way, Jaipur","303007","Rajasthan","2(f) & 12(B)"
"491","Deemed to be Universities","Jaypee Institute of Information Technology","A-10, Sector-62 Noida","201309","Uttar Pradesh","Section-III"
"492","Private","Jaypee University","Aligarh Road, Anoopshahr, District- Bulandshahr, Uttar Pradesh, IndiaDist. Bulandshahar","203390","Uttar Pradesh","2(f)"
"493","Private","Jaypee University of Engineering & Technology","Raghogarh, Guna MPRaghogarhDistt, Guna","473226","Madhya Pradesh","2(f)"
"494","Private","Jaypee University of Information Technology","Distt. Solan","173234","Himachal Pradesh","2(f)"
"495","Private","Jeppiaar University","Rajiv Gandhi Salai,Chennai","600119","Tamil Nadu","2(f)"
"496","Private","Jharkhand Rai University","Raja Ulatu, Namkum, Ranchi, JharkhandRatu RoadRanchi","834010","Jharkhand","2(f)"
"497","State","Jharkhand Raksha Shakti University","Old Judicial Academy(Shri Krishna Lok Prashashan Sansthan Parisar)Mayors Road, Ranchi","834002","Jharkhand","2(f)"
"498","State","Jharkhand State Open University","Kanke, Ranchi","834006","Jharkhand","2(f)"
"499","State","Jharkhand University of Technology","Science & Technology Campus,Sirkha Toll, Namkum,Ranchi","834010","Jharkhand","2(f)"
"500","Private","Jigyasa University ( Formerly name Himgiri Zee University)","P.O. Sherpur,Chakrata Road,Dehradun","248197","Uttarakhand","2(f)"
"501","Private","JIS University","81, Nilgunj Road, Agarpara, KolkataDistrict North 24 Parganas","700109","West Bengal","2(f)"
"502","State","Jiwaji University","GwaliorPIN - 474 001. (MP)","","Madhya Pradesh","2(f) & 12(B)"
"503","Private","JK Lakshmipat University","Laliya Ka Vas P.O. Mahapura,Ajmer RoadJaipur","302026","Rajasthan","2(f)"
"504","Private","Jodhpur National University","Narnadi,Jhanwar Road,BoranadaJodhpur","342 001","Rajasthan","2(f)"
"505","Private","JSPM University","Gut No. 719/1 and 719/2, Wagholi, Taluka, Haveli, District Pune","4122017","Maharashtra","2(f)"
"506","Deemed to be Universities","JSS Academy of Higher Education & Research","JSS Medical Institution Campus, Sri Shivarathreeshwara Nagara, Mysore","570015","Karnataka","Section-III & 12(B)"
"507","Private","JSS Science & Technology University","JSS Science and Technology University, JSS Technical Institutions Campus, MysuruMysuru","570006","Karnataka","2(f)"
"508","Private","JSS University","C-20/1, Sector-62, Noida,  Gautam Budh Nagar","201301","Uttar Pradesh","2(f)"
"509","State","Junagarh Agricultural University","Junagarh","362 001","Gujarat","2(f)"
"510","Private","K K University","Berauti, Nepura, Biharsharif, Nalanda","803115","Bihar","2(f)"
"511","Private","K. K. Modi University","Village Mehmara,Jalbandha(Rasmada) Road,Distt. - Durg","491001","Chhattisgarh","2(f)"
"512","Private","K. N. University","Smt. K. N. Patel International School, Near KNPIS Circle, Vodafone Tower Lane, Gota, Ahmedabad","382481","Gujarat","2(f)"
"513","Deemed to be Universities","K.L.E. Academy of Higher Education and Research","JNMC Campus, Nehru Nagar, Belagavi","590010","Karnataka","Section-III"
"514","Private","K.M. (Krishna Mohan) University","Pali Dungra, Sonkh Road, Mathura","281123","Uttar Pradesh","2(f)"
"515","Private","K.R. Mangalam University","Sohna Road,Gurugram","122103","Haryana","2(f)"
"516","Private","Kadi  Sarva Vishwavidyalaya","LDRPITR Campus, Near Kh 5 Circle, Sector 15, GandhinagarSector 15/23, Gandhinagar","382016","Gujarat","2(f)"
"517","State","Kakatiya University","Kakatiya University,Warangal, Vidyaranyapuri,PIN - 506 009.","","Telangana","2(f) & 12(B)"
"518","State","Kalahandi University","Manikya Vihar, Bhawanipatna, Dist.-Kalahandi","766001","Odisha","2(f)"
"519","Deemed to be Universities","Kalasalingam Academy of Research and Education","Krishnankoil, Srivilliputhur","626126","Tamil Nadu","Section-III"
"520","Deemed to be Universities","Kalinga Institute of Industrial Technology","KIIT Rd, Patia, Bhubaneswar","751024","Odisha","Section-III & 12(B)"
"521","Deemed to be Universities","Kalinga Institute of Social Sciences","Campus 10, Bhubaneswar","751024","Odisha","Section-III"
"522","Private","Kalinga University","Kotni, Near Mantralaya, Naya Raipur (Chhattisgarh) IndiaThasil : Aarang,  Naya Raipur","492101","Chhattisgarh","2(f) & 12(B)"
"523","State","Kaloji Narayana Rao University of Health Sciences","Kakatiya Medical College Campus, Rangampet, Warangal (U)","506007","Telangana","2(f)"
"524","State","Kalyani University","Kalyani","","West Bengal","2(f) & 12(B)"
"525","State","Kamdhenu University","B-1 Wing, 4th Floor, Karmayogi Bhavan, Sector 10A Gandhinagar GujaratSector 10 A, Block B,Podium Level, Gandhinagar","382410","Gujarat","2(f)"
"526","State","Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya","Kameshwar Nagar, Darbhanga","846008","Bihar","2(f) & 12(B)"
"527","State","Kannada University","Vidyaranya, Hosapete Taluk, Bellary Dist., KARNATAKAHampi (Dt. Bellary) 583276","583276","Karnataka","2(f) & 12(B)"
"528","State","Kannur University","MangattuparambaDistt- Kannur","670 567","Kerala","2(f) & 12(B)"
"529","State","Kanyashree University","Krishnanagar,Nadia","","West Bengal","2(f)"
"530","State","Karmaveer Bhaurao Patil University","Powai Naka, Satara","415001","Maharashtra","2(f)"
"531","State","Karnatak  University","Karnatak University,Pavate Nagar, Dharwad","580003","Karnataka","2(f) & 12(B)"
"532","State","Karnataka  State Law University","Navanagar, Hubli-580025Karnataka","","Karnataka","2(f) & 12(B)"
"533","State","Karnataka  State Open University","ManasangangotriMysore-570006","","Karnataka","2(f) & 12(B)"
"534","State","Karnataka Folklore University","Gotagodi, Shiggavi Taluk, Haveri District - 581 205Vijayanagar, Banglore","581205","Karnataka","2(f)"
"535","State","Karnataka Janapada Vishwavidyalaya","Gatagodi, NH-4, TalukShiggaon, Dist-Haveri,","581197","Karnataka","2(f)"
"536","State","Karnataka Samskrit University","Sri Chamarajendra Sanskrit College campus,Pampa Mahakavi Road,ChamarajpetBangalore","580018","Karnataka","2(f) & 12(B)"
"537","State","Karnataka State Akkamahadevi Women University (Formerly ""Karnataka State Women's University)","Jnanashakthi Campus, Athani Road, Toravi, Vijayapura,","586108","Karnataka","2(f) & 12(B)"
"538","State","Karnataka State Rural Development and Panchayat Raj University","Raitha Bhavana, General Cariappa Circle, Gadag, Karnataka- 582101Regional Office:- Grameenabhivruddhi Bhavan, Ananda Rao Circle,Bengaluru-560009","582101","Karnataka","2(f)"
"539","State","Karnataka Veterinary, Animal & Fisheries Science University","NandinagarPB No.6,Bidar-585401(Karnataka","585226","Karnataka","2(f)"
"540","Private","Karnavati University","907/A, UvarsadGhandhinagar,","382422","Gujarat","2(f)"
"541","Deemed to be Universities","Karpagam Academy of Higher Education","Pollachi Main Road, Eachanari Post, Coimbatore","641021","Tamil Nadu","Section-III"
"542","Deemed to be Universities","Karunya Institute of Technology and Sciences","Karunya Nagar, Coimbatore","641114","Tamil Nadu","Section-III"
"543","State","Kashmir University","Hazratbal, SrinagarPIN - 190 006. (J & K)","190006","Jammu and Kashmir","2(f) & 12(B)"
"544","State","Kavayitri Bahinabai Chadhari North Maharashtra University","UmavinagarP.B.No.80, Jalgaon","425001","Maharashtra","2(f) & 12(B)"
"545","Private","Kaveri University","Gowraram (V), Wargal (M), Siddipet District","502079","Telangana","2(f)"
"546","State","Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya","Administration Building, Mouda Road, Ramtek, Dist. Nagpur Ramtek-441106,Dist. NagpurMaharashtra","441106","Maharashtra","2(f) & 12(B)"
"547","State","Kazi Nazrul University","Nazrul Road, Kalla Bypass MorePO – Kalla, C. H., P. s. Asansol (North)Dist. Paschim Bardhman","713 304","West Bengal","2(f) & 12(B)"
"548","State","Keladi Shivappa Nayaka University of Agriculture and Horticultural Sciences","Shivamogga, Iruvakki, Sagara Taluk, Shivamogga District","577412","Karnataka","2(f)"
"549","State","Kerala Agricultural Unviersity","Kerala Agricultural University KAU Main Campus KAU P.O., Vellanikkara, Thrissur, Kerala, 680656Thrissur - 680 654.","680656","Kerala","2(f) & 12(B)"
"550","Deemed to be Universities","Kerala Kalamandalam","Vallathol Nagar, Cheruthuruthy, Thrissur","679531","Kerala","Section-III & 12(B)"
"551","State","Kerala University","Thiruvananthapuram - 695 0","","Kerala","2(f) & 12(B)"
"552","State","Kerala University of Digital Sciences Innovation and Technology","Technology CampusKuracode, MangalapurammThonnakkal P.O., Thiruvananthapuram","695317","Kerala","2(f)"
"553","State","Kerala University of Fisheries & Ocean Studies","Panangad P.O, Kochi Kochi","682506","Kerala","2(f) & 12(B)"
"554","State","Kerala University of Health Sciences","Trissur","680596","Kerala","2(f)"
"555","State","Kerala Veterinary & Animal Sciences University","Kerala Veterinary and Animal Sciences University, Pookode, Wayanad, KeralaWayanad","673576","Kerala","2(f)"
"556","Private","Khaja Bandanawaz University","Admin Block, Rauza-i Buzurg,Kalaburagi","585104","Karnataka","2(f)"
"557","State","Khallikote Unitary University","Sundar Nagar, Ganjam, Berhampur","760001","Odisha","2(f)"
"558","State","Khangchendzonga State University (Formerly Sikkim State University)","Nar Bahadur Bhandari Government College Complex, PO Tadong, Gangtok, East Sikkim","737102","Sikkim","2(f)"
"559","Private","Khongnangthaba University","Khurai Konsam leikai,Imphal East District","795010","Manipur","2(f)"
"560","State","Khwaja Moinuddin Chishti Language University","Sitapur - Hardoi Bypass Road,Near I.I.M.Lucknow","226013","Uttar Pradesh","2(f) & 12(B)"
"561","State","King Georges Medical University","King George Medical University, Shahmeena Road Chowk, Lucknow,","226003","Uttar Pradesh","2(f) & 12(B)"
"562","Private","Kishkinda University","City Campus, Ballari Business College, Siruguppa Road, Ballari","583103","Karnataka","2(f)"
"563","Private","KLE Technological University","B.V. Bhoomarddi College Campus,Vidyanagar,Hubballi","580031","Karnataka","2(f) & 12(B)"
"564","State","Kodagu University","Chikka Aluvara, Kushalnagar","571232","Karnataka","2(f)"
"565","State","Kolhan University","NH-75, WEST SINGHBHUM, JHARKHANDWest Singhbhum, Jharkhand","833202","Jharkhand","2(f)"
"566","Deemed to be Universities","Koneru Lakshmaiah Education Foundation","Vaddeswaram, guntur","522502","Andhra Pradesh","Section-III & 12(B)"
"567","State","Konkan Krishi Vidyapeeth","Dapoli, Tal: Dapoli, Dist. RatnagiriDistrict Ratnagiri","415712","Maharashtra","2(f) & 12(B)"
"568","State","Koppal University","Government Engineering College, Talakala, Dist. Koppal","583231","Karnataka","2(f)"
"569","State","Krantiguru Shyamji Krishna Verma Kachchh University","Mundra road bhuj kachchhBhuj-Kachchh, Gujarat","370001","Gujarat","2(f) & 12(B)"
"570","State","Krantisurya Tantya Bhil Vishwavidyalaya","Khargone, Bistant Road, Khargone","451001","Madhya Pradesh","2(f)"
"571","Private","KREA University","Appaiahpalem, Central Expressway, Sri City","517646","Andhra Pradesh","2(f)"
"572","State","Krishna Kanta Handiqui State Open University","Resham Nagar,Khanapara, Kamrup(M),Guwahati","781022","Assam","2(f)"
"573","State","Krishna University","Andhra JateeyaKalasala, Campus, RajupetaMachllipatanam","521001","Andhra Pradesh","2(f) & 12(B)"
"574","Deemed to be Universities","Krishna Vishwa Vidyapeeth","Near Dhebewadi Road, Karad, Distt. Satara","415539","Maharashtra","Section-III"
"575","Private","Krishnaguru Adhyatmik Visvavidyalaya","Nasatra, Barpeta","781307","Assam","2(f)"
"576","State","KSGH Music and Performing Arts University","Jlb road, Ashoka Circle, Lakshmipura, Mysuru-04Near Ashoka CircleLadshmipuram, Mysore","570004","Karnataka","2(f)"
"577","State","Kumar Bhaskar Varma Sanskrit & Ancient Studies University","NAMATI, HATI NAMATI, NALBARI, ASSAM-781337, INDIAP.O.- Hati NamatiDist-Nalbari,Assam","781337","Assam","2(f) & 12(B)"
"578","State","Kumaun University","Sleepy Hallow,Mallital,Nainital","263001","Uttarakhand","2(f) & 12(B)"
"579","State","Kurukshetra University","KurukshetraPIN - 136 119  (HARYANA)","136119","Haryana","2(f) & 12(B)"
"580","State","Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya","At: Kathadih, Po: Sunder Nagar, Raipur","492013","Chhattisgarh","2(f)"
"581","State","Kuvempu University","Jnanasahyadri, Shankaraghatta, Shivamogga, KarnatakaPIN -577 451. KARNATAKA.","577451","Karnataka","2(f) & 12(B)"
"582","Deemed to be Universities","Lakshmibai National Institute of Physical Education","Shaktinagar, Mela Road, Gwalior","474002","Madhya Pradesh","Section-III & 12(B)"
"583","Private","Lakulish Yoga University","Lotus View, Opp. Nirma University,S.G. Highway, Chharodi,Ahmedabad","382481","Gujarat","2(f)"
"584","State","Lala Lajpat Rai University of Veterinary & Animal Sciences","CCSHAU Campus","125004","Haryana","2(f) & 12(B)"
"585","State","Lalit Narayan Mithila University","Darbhanga","846008","Bihar","2(f) & 12(B)"
"586","Private","Lamrin Tech Skills University","Chandigarh- Jalandhar NH 344A, 40 KM from Chandigarh and 5km from Ropar on Chandigarh-Ropar-Jalandhar National Highway District Shaheed Bhagat Singh Nagar","144533","Punjab","2(f)"
"587","State","Laxminarayan Innovation Technological (LIT) University","LITU Campus, Amaravati Road, Nagpur","440033","Maharashtra","2(f)"
"588","Deemed to be Universities","Lingaya's Vidyapeeth","Nachauli, Old  Faridabad - Jasana Road, Faridabad","121002","Haryana","Section-III"
"589","Private","LNCT University","JK Town Sarvadharam C sector, Kolar Road, Bhopal","462024","Madhya Pradesh","2(f)"
"590","Private","LNCT Vidhyapeeth University","LANCT Campus, Village-Kanadiya, Kanadiya Road, Indore","452016","Madhya Pradesh","2(f)"
"591","Private","Lok Jagruti Kendra University","FP No. 74,100+113, TPS No. 86,(Sarkhej-okaf-Fatewadi, Makrba), Dist.  Ahmedabad","","Gujarat","2(f)"
"592","Private","Lokbharti University for Rural Innovation","At. Sanosara, Ta. SihorDist.- Bhavnagar","364230","Gujarat","2(f)"
"593","Private","Lords University","Alwar-Tijara-Delhi Highway,Chikani, Alwar","","Rajasthan","2(f)"
"594","Private","Lovely Professional University","Jalandhar-Delhi G.T. Road, Ludhiana, Phagwara, Distt. Kappurthala","144411","Punjab","Category-I"
"595","Private","M. K. University","Hanumanpura, Matarvadi Patan","384265","Gujarat","2(f)"
"596","State","M.B.M. University","Ratanada, Jodhpur","342011","Rajasthan","2(f)"
"597","State","M.P.Bhoj (open) University","Kolar Road BhopalKolar Road,Bhopal","462016","Madhya Pradesh","2(f) & 12(B)"
"598","Private","M.S. Ramaiah University of Applied Sciences","University House, Gnanagangothri Campus ,New BEL Road, M S R Nagar, Bangalore, Karnataka, INDIA - 560 054M S R Nagar, Bangalore","560054","Karnataka","2(f)"
"599","Private","M.V.N. University","74 KM Stone, NH-2, Delhi-Agra Highway, Palwal (Haryana) - 121105Delhi-Agra Highway, Palwal","121105","Haryana","2(f)"
"600","State","Maa Pateswari University","Ghughulpur, Balrampur, UP","271201","Uttar Pradesh","2(f)"
"601","State","Maa Shakumbhari University","Saharanpur, PunwarkaSaharanpur","247120","Uttar Pradesh","2(f)"
"602","State","Maa Vindhyavasini University","Visundarpur, Mirzapur, UP","231001","Uttar Pradesh","2(f)"
"603","State","Madan Mohan Malaviya University of Technology","Deoria Road Gorakhpur","273010","Uttar Pradesh","2(f) & 12(B)"
"604","State","Madhabdev University","Narayanpur, PO: Dikrong, Lakhimpur, AssamNarayanpur,Lakhimpur","784164","Assam","2(f)"
"605","Deemed to be Universities","Madhav Institute of Technology and Science","Gola ka Mandir, Gwalior","474005","Madhya Pradesh","Section-III"
"606","Private","Madhav University","Madhav Hills, Opp. Banas Bridge TollNH -14, Abu RoadDistrict - Sirohi","307 026","Rajasthan","2(f)"
"607","State","Madhusudan Law University","Station Road, Cuttack","750003","Odisha","2(f)"
"608","State","Madhya Pradesh Medical Science University","NSCB Medical College Campus, Bhedaghat Road, Jabalpur","482003","Madhya Pradesh","2(f)"
"609","Private","Madhyanchal Professional University","Patel Group of Institutions Campus, Ratibad,Bhopal","462044","Madhya Pradesh","2(f)"
"610","State","Madras University","ChepaukChennai","","Tamil Nadu","2(f) & 12(B)"
"611","State","Madurai Kamraj University","Palkainagar,Madurai-625 021.(T.N.).","","Tamil Nadu","2(f) & 12(B)"
"612","State","Magadh University","Bodh Gaya","824234","Bihar","2(f) & 12(B)"
"613","Private","Maganbhai Adenwala Mahagujarat University","I.S. Ayurved Mahavidyalaya, College Road, Nadiad","387001","Gujarat","2(f)"
"614","Private","Mahakaushal University","Anthakheda, Chargawan Road,Tilwara,Jabalpur","482003","Madhya Pradesh","2(f)"
"615","Private","Mahapurusha Srimanta Sankaradeva Viswavidyalaya","Srimanta Sankaradeva Sangha Complex, Haladhar Bhuyan Path, Kalongpar, Nagaon","782001","Assam","2(f)"
"616","State","Maharahtra University of Health Sciences","Vani Dindori Road, Mhasrul, NashikNashik-422 005","422004","Maharashtra","2(f)"
"617","Private","Maharaj Vinayak Global University","Dhand,Amer,Jaipur","","Rajasthan","2(f)"
"618","Private","Maharaja Agrasen Himalayan Garhwal University","Dhaid Gaon, Shiv NagarBlock PokhraDistt. Pauri Garhwal","246169","Uttarakhand","2(f)"
"619","Private","Maharaja Agrasen University","Atal Shiksha Kunj Village kalujhanda, Baddi Distt. Solannear Barotiwala, Tehsil-Baddi, Distt. Sonal","174103","Himachal Pradesh","2(f)"
"620","State","Maharaja Bir Bikram University","AgartalaTripura","","Tripura","2(f) & 12(B)"
"621","State","Maharaja Chhatrasal Bundelkhand Vishwavidyalaya","Police Lines Road, Panna Road, Chhatarpur","471001","Madhya Pradesh","2(f) & 12(B)"
"622","State","Maharaja Ganga Singh University","NH-15, Jaisalmer Road, Bikaner","334004","Rajasthan","2(f) & 12(B)"
"623","State","Maharaja Krishnakumarsinji Bhavnagar University","S.V. Patel Campus, Gaurishanker Lake Road, Bhavnagar","364001","Gujarat","2(f) & 12(B)"
"624","State","Maharaja Ranjit Singh Punjab Technical University","Dabwali Rd, Lal Singh Nagar, Bathinda","151001","Punjab","2(f) & 12(B)"
"625","State","Maharaja Sayajirao University of Baroda","Head Office, Maharaja Fatehsinghrao Gaekwad Road,Fatehgunj,Vadodara","390002","Gujarat","2(f) & 12(B)"
"626","State","Maharaja Sriram Chandra Bhanja Deo University(Earlier North Orissa University)","Sriram Chandra Vihar, Takatpur, Baripada, Bhuabaneswar","757003","Odisha","2(f) & 12(B)"
"627","State","Maharaja Suhel Dev State University","Raidopur, Azamgarh","276001","Uttar Pradesh","2(f)"
"628","State","Maharaja Surajmal Brij University","Chak Sakitara, Kumher, Bharatpur","321201","Rajasthan","2(f)"
"629","State","Maharana Partap Horticultural University","Karnal","132001","Haryana","2(f)"
"630","State","Maharana Pratap University of Agriculture & Technology","Maharana Pratap University of Agriculture & Technology, Udaipur 313001Udaipur-313001","313001","Rajasthan","2(f)"
"631","State","Maharani Cluster University","Palace Road Bangalore Bengaluru","560001","Karnataka","2(f)"
"632","State","Maharashtra Animal & Fishery Sciences University","Futala Lake Road, NagpurSeminary Hills, Nagpur-440 006","440001","Maharashtra","2(f)"
"633","Private","Maharashtra Institute of Technology University of Meghalaya(Formerly University of Technology & Management)","Present Office: Nongshiliang, Nongthymmai, SHilong, MeghalayaUpcoming Permanent Campus:  Mawkashiang, village-Umroh, Shillong.","793014","Meghalaya","2(f)"
"634","State","Maharashtra National Law University, Aurangabad","Paithan Road, Kanchanwadi, Aurangabad","431005","Maharashtra","2(f)"
"635","State","Maharashtra National Law University, Mumbai","CETTM MTNL Building, Hiranandani Gardens, Powai, Mumbai","400076","Maharashtra","2(f)"
"636","State","Maharashtra National Law University, Nagpur","Training Institute(JOTI), Civil Lines,  C P Club Road, Nagpur","440001","Maharashtra","2(f) & 12(B)"
"637","State","Maharashtra State Skills University","1st, Floor, Elphinstone Technical High School3, Mahapalika Marg, Metro ChowkMumbai","400001","Maharashtra","2(f)"
"638","Private","Maharishi Arvind University, Jaipur","Mundiaramsar, Near Bindayaka Industrial Area,Jaipur","302012","Rajasthan","2(f)"
"639","State","Maharishi Balmiki Sanskrit University","Mundri,Kaithal","136027","Haryana","2(f)"
"640","Private","Maharishi Mahesh Yogi Vedic Vishwavidyalaya","Village-Karaundi, Post Office-Mahner, Tehsil-Dheemarkheda, City-Dheemarkheda, District-Katni","483332","Madhya Pradesh","2(f)"
"641","Deemed to be Universities","Maharishi Markandeshwar","Yamunanagar Highway, Mullana, Ambala","133207","Haryana","Section-III"
"642","Private","Maharishi Markandeshwar University","Institutional Area, Village Sadopur, Ambala- Chandigarh Highway, Ambala","134007","Haryana","2(f)"
"643","Private","Maharishi Markandeshwar University","Village Laddo, Sultanpur Road, Post Office Kumarhatti, Distt. Solan-HPSolan NULL","173229","Himachal Pradesh","2(f)"
"644","Private","Maharishi University of Information Technology","Maharishi Bal Vidya Mandir & University CampusSitapur Road, Post-DiburiaLucknow","226020","Uttar Pradesh","2(f)"
"645","Private","Maharishi University of Management and Technology","Maharishi Road, Post Box No. - 10, Mangla, Bilaspur","495 001","Chhattisgarh","2(f)"
"646","State","Maharshi Dayanand Saraswati University","Pushkar Bye PassAjmer","305001","Rajasthan","2(f) & 12(B)"
"647","State","Maharshi Dayanand University","Rohtak","124001","Haryana","2(f) & 12(B)"
"648","State","Maharshi Panini Sanskrit Evam Vedic Vishwavidyalaya","Dewas Road, Ujjain,  Madhya Pradesh","456010","Madhya Pradesh","2(f)"
"649","State","Mahatam Gandhi Kashi Vidyapeeth","Varanasi-221 002 (U.P)","","Uttar Pradesh","2(f) & 12(B)"
"650","Private","Mahatama Gandhi University","13th Mile, G S RoadKanapara, Distt. Ri-Bhoi","793101","Meghalaya","2(f)"
"651","Central","Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya","Gandhi Hills, Post- Hindi Vishwavidyalaya,Wardha","442001","Maharashtra","2(f) & 12(B)"
"652","Central","Mahatma Gandhi Central University","Camp Office : Opposite Circuit House,Motihari,Distt: East Champaran","845401","Bihar","2(f) & 12(B)"
"653","State","Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya","ChitrakootDistrict Satna","485334","Madhya Pradesh","2(f) & 12(B)"
"654","State","Mahatma Gandhi Udyanikee and Vanikee Vishwavidyalaya","Sankra-PatanDistrict- Durg","491111","Chhattisgarh","2(f)"
"655","State","Mahatma Gandhi University","Mahishadal, Purba Medinipur","721628","West Bengal","2(f)"
"656","State","Mahatma Gandhi University","Post. Yellareddygudem Panagal, Nalgonda","508 254","Telangana","2(f) & 12(B)"
"657","Private","Mahatma Gandhi University of Medical Sciences & Technology","RIICO Institutional Area, Sitapur , Tonk Road, Jaipur-302 022 Rajasthan","","Rajasthan","2(f)"
"658","State","Mahatma Gandhi Unversity","Kottayam,PIN - 686 560. (KERALA).","","Kerala","2(f) & 12(B)"
"659","Private","Mahatma Jyoti Rao Phoole University","SP-2 & 3, Kant Kalwar, RIICO Industrial Area, NH-8 Near Achrol, Jaipur","","Rajasthan","2(f)"
"660","State","Mahatma Jyotiba Phule Rohilkhand University","Doli Lal Agarwal Marg,Bareilly","","Uttar Pradesh","2(f) & 12(B)"
"661","State","Mahatma Phule Krishi Vidyapeeth","RahuriDt.Ahmednagar - 413 722.","","Maharashtra","2(f) & 12(B)"
"662","Private","Mahaveer University","Pohali, Sardhana Road, Meerut","250341","Uttar Pradesh","2(f)"
"663","Private","Mahayogi Gorakhnath University Gorakhpur","Arogya Dham, Balapur Road,Sonbarsa,Distt-Gorakhpur","237007","Uttar Pradesh","2(f)"
"664","Private","Mahindra University","At Bahadurpally (V), Qudbullapur Mandal, Madchal Malkajgiri","500043","Telangana","2(f)"
"665","State","Major Dhyanchand Sports University","Salawa, Meerut, UP","250342","Uttar Pradesh","2(f)"
"666","Private","Major S. D. Singh University","Bhojpur,  Kanpur Road, Fatehgarh, Farrukhabad","209749","Uttar Pradesh","2(f)"
"667","State","Majuli University of Culture","Patharichuk N.C,Majuli","787054","Assam","2(f)"
"668","State","Makhanlal Chaturvedi National University of Journalism & Communication","B-38, Vikas Bhavan, Press Complex, MP Nagar, Zone-1Bhopal","462 011","Madhya Pradesh","2(f) & 12(B)"
"669","Private","Malla Reddy University","Maisammaguda,  Dhulapally, Post via Kompally, Medchal- Malkajgiri District","500014","Telangana","2(f)"
"670","Deemed to be Universities","Malla Reddy Vishwavidyapeeth","Suraram, Hyderabad, Telangana","500055","Telangana","Section-III"
"671","Private","Malwanchal University","Index City,NH-59A,Nemawar Road,Near Khundel, District-Indore","452016","Madhya Pradesh","2(f)"
"672","Private","Manav Bharti University","Village - Laddo, Post OfficeSultanpur, Tehsil & Distt, Solan","","Himachal Pradesh","2(f)"
"673","Deemed to be Universities","Manav Rachna International Institute of Research and Studies","5E/1A, Bungalow Plot, N.I.T., Faridabad","121001","Haryana","Section-III & 12(B)"
"674","Private","Manav Rachna University","Sector-43, Aravalli Hills, Delhi-Surajkund Road, FaridabadDelhi-Surajkund Road,Faridabad","121001","Haryana","2(f)"
"675","Private","Mandsaur University","Mahow Neemuch bypass , Rewas Devda, Road, MandsaurSh-31,Mandsaur","458001","Madhya Pradesh","2(f)"
"676","State","Mandya University","M.C. Road,Mandya","571401","Karnataka","2(f)"
"677","Private","Mangalayatan University","NH-30, Mandla Road,Near Shrda Devi Mandir,Richai-Barela, Jabalpur","483001","Madhya Pradesh","2(f)"
"678","Private","Mangalayatan University","Extended NCR, 33rd MilestoneMathura-Aligarh HighwayBeswan Aligarh","202 145","Uttar Pradesh","2(f)"
"679","State","Mangalore University","Mangalore University Mangalagangotri Karnataka State IndiaMangalore - 574 199.","574199","Karnataka","2(f) & 12(B)"
"680","Deemed to be Universities","Manipal Academy of Higher Education","Madhav Nagar, Manipal","576104","Karnataka","Section-III"
"681","Private","Manipal University","Manipal University Jaipur ,  Dehmi Kalan, Off Jaipur-Ajmer Expressway, Jaipur, (Raj.) Rajasthan 303007.Jaipur-Ajmer ExpressJaipur","303007","Rajasthan","2(f)"
"682","Private","Manipur International University","MIU Place,Ghari,Airport RoadImphal","795140","Manipur","2(f)"
"683","State","Manipur Technical University","Takyelpat, Imphal, Manipur","795004","Manipur","2(f)"
"684","Central","Manipur University","Canchipur, Imphal, Manipur","795003","Manipur","2(f) & 12(B)"
"685","State","Manipur University of Culture","Palace Compound, Imphal East, Manipur","795001","Manipur","2(f)"
"686","State","Manonmaniam Sundarnar University","Tirunelvelli - 627 008.","","Tamil Nadu","2(f) & 12(B)"
"687","Private","Mansarovar Global University","Village Gadia and Ratnakhedi,Block-BilkisganjSehore","","Madhya Pradesh","2(f)"
"688","State","Marathwada Agricultural University","Basmat Road, Parbhani","431402","Maharashtra","2(f) & 12(B)"
"689","Private","Martin Luther Christian University","Block 1, Dongktieh, Nongrah, Shillong, Meghalaya 793006Nongrah,Shillong, Meghalaya","793006","Meghalaya","2(f)"
"690","Private","Marwadi University","Rajkot- Morbi HIghway, Near Gauridad,RajkotRajkot","360003","Gujarat","2(f)"
"691","State","Marwar Medical University","Dr. S. N. Medical College Campus, Jodhpur","342003","Rajasthan","2(f)"
"692","Private","Mata Gujri University","Purabpali Roa, Kishangunj","855107","Bihar","2(f)"
"693","Private","Mata Tripura Sundari Open University","1.No. Colony, Chadrapur Colony, VTC Indiranagar, Distt. Gomati","799013","Tripura","2(f)"
"694","Private","MATS University","Aarang Kharora Highway, Aarang,District :  Raipur","493441","Chhattisgarh","2(f)"
